H	1.00794
He	4.002602
Li	6.94
Be	9.012182
B	10.81
C	12.0107
N	14.00067
O	15.9994
F	18.9984
Ne	20.1797
Na	22.98976928
Mg	24.305
Al	26.9815386
Si	28.0855
P	30.973762
S	32.065
Cl	35.45
Ar	39.948
K	39.0983
Ca	40.078
Sc	44.955912
Ti	47.867
V	50.9415
Cr	51.9961
Mn	54.938045
Fe	55.845
Co	58.933195
Ni	58.6934
Cu	63.546
Zn	65.38
Ga	69.723
Ge	72.63
As	74.9216
Se	78.96
Br	79.904
Kr	83.798
Rb	85.4678
Sr	87.62
Y	88.90584
Zr	91.224
Nb	92.90637
Mo	95.95
Tc	0
Ru	101.07
Rh	102.90550
Pd	106.42
Ag	107.8682
Cd	112.414
In	114.181
Sn	118.710
Sb	121.760
Te	127.60
I	126.90447
Xe	131.293
Cs	132.90545196
Ba	137.327
La	138.90547
Ce	140.116
Pr	140.90766
Nd	144.242
Pm	0
Sm	150.36
Eu	151.964
Gd	157.25
Tb	158.92535
Dy	162.500
Ho	164.93033
Er	167.259
Tm	168.93422
Yb	173.054
Lu	174.9668
Hf	178.49
Ta	180.94788
W	183.84
Re	186.207
Os	190.24
Ir	192.217
Pt	195.084
Au	196.966569
Hg	200.592
Ti	204.382
Pb	207.2
Bi	208.98040
